-80	-40	12.487
-80	-39	10.582
-80	-38	3.656
-80	-37	1.3107
-80	-36	7.0842
-80	-35	5.9498
-80	-34	16.988
-80	-33	14.336
-80	-32	18.665
-80	-31	26.866
-80	-30	28.951
-80	-29	34.62
-80	-28	32.78
-80	-27	38.341
-80	-26	34.411
-80	-25	36.963
-80	-24	40.656
-80	-23	41.477
-80	-22	47.23
-80	-21	40.361
-80	-20	42.183
-80	-19	49.355
-80	-18	50.26
-80	-17	56.978
-80	-16	59.463
-80	-15	61.713
-80	-14	65.873
-80	-13	72.424
-80	-12	75.695
-80	-11	78.752
-80	-10	82.672
-80	-9	88.436
-80	-8	106.07
-80	-7	102.49
-80	-6	119.28
-80	-5	113.68
-80	-4	135.44
-80	-3	144.64
-80	-2	159.14
-80	-1	155.72
-80	0	173.86
-80	1	175.76
-80	2	186.9
-80	3	171.51
-80	4	183.06
-80	5	198.34
-80	6	186.09
-80	7	192.56
-80	8	201.44
-80	9	195.79
-80	10	193.5
-80	11	223.96
-80	12	227.66
-80	13	225.25
-80	14	235.98
-80	15	246.71
-80	16	238.6
-80	17	263.19
-80	18	294.02
-80	19	273.19
-80	20	289.43
-80	21	308.42
-80	22	293.06
-80	23	272.12
-80	24	263.84
-80	25	303.95
-80	26	263.72
-80	27	274.1
-80	28	283.3
-80	29	289.73
-80	30	301.18
-80	31	321.52
-80	32	335.56
-80	33	332.9
-80	34	319.14
-80	35	356.43
-80	36	361.86
-80	37	329.23
-80	38	340.09
-80	39	350.75
-80	40	328.28
-80	41	327
-80	42	312.89
-80	43	360.04
-80	44	327.01
-80	45	300.34
-80	46	301.78
-80	47	316.66
-80	48	271.2
-80	49	291.02
-80	50	257.57
-80	51	280.86
-80	52	271.2
-80	53	222.59
-80	54	223.39
-80	55	209.72
-80	56	193.37
-80	57	181.47
-80	58	165.31
-80	59	153.08
-80	60	139.76
-80	61	139.38
-80	62	123.41
-80	63	107.74
-80	64	103.78
-80	65	105.61
-80	66	103.1
-80	67	97.194
-80	68	93.539
-80	69	85.61
-80	70	82.366
-80	71	83.176
-80	72	67.03
-80	73	63.57
-80	74	53.333
-80	75	37.663
-80	76	36.449
-80	77	27.32
-80	78	21.41
-80	79	24.37
-80	80	17.125
-79	-40	7.3719
-79	-39	5.2726
-79	-38	4.2783
-79	-37	6.4779
-79	-36	3.297
-79	-35	5.9464
-79	-34	10.343
-79	-33	20.274
-79	-32	22.2
-79	-31	20.856
-79	-30	28.084
-79	-29	35.095
-79	-28	32.81
-79	-27	36.297
-79	-26	39.913
-79	-25	38.741
-79	-24	40.393
-79	-23	41.378
-79	-22	40.211
-79	-21	46.325
-79	-20	52.245
-79	-19	48.117
-79	-18	56.011
-79	-17	55.704
-79	-16	58.092
-79	-15	64.868
-79	-14	70.02
-79	-13	70.364
-79	-12	74.824
-79	-11	79.513
-79	-10	87.387
-79	-9	96.437
-79	-8	97.892
-79	-7	109.55
-79	-6	116.94
-79	-5	127.92
-79	-4	127.51
-79	-3	152.4
-79	-2	153.69
-79	-1	155.56
-79	0	160.94
-79	1	178.21
-79	2	176.09
-79	3	186.78
-79	4	180.65
-79	5	172.63
-79	6	174.63
-79	7	188.53
-79	8	206.16
-79	9	191.36
-79	10	216.08
-79	11	199.86
-79	12	218.18
-79	13	225.43
-79	14	234.44
-79	15	233.43
-79	16	241.74
-79	17	248.86
-79	18	248.89
-79	19	272.42
-79	20	277.91
-79	21	276.37
-79	22	275.19
-79	23	275.13
-79	24	299.07
-79	25	255.04
-79	26	293.08
-79	27	273.97
-79	28	277.06
-79	29	308.21
-79	30	304.5
-79	31	307.45
-79	32	316.2
-79	33	345.24
-79	34	354.37
